rings_contact.py grid, N=200 shells, t_end=20, dt=5e-5, eps=0.02, 3 seeds. eta_c=1e9 is the ballistic null.
f sigma eta_c | unbound mean (min-max) | max|dE/E| | edges per seed (mass fractions)
0.9 0.3 0.03 | 0.37 (0.34-0.38) | 0.0039 | [0.05, 0.8, 0.85, 0.9, 0.95]; [0.05, 0.75, 0.85, 0.9, 0.95]; [0.05, 0.7, 0.85, 0.9, 0.95]
0.9 0.3 0.1 | 0.37 (0.34-0.38) | 0.0039 | [0.05, 0.8, 0.85, 0.9, 0.95]; [0.05, 0.75, 0.85, 0.9, 0.95]; [0.05, 0.7, 0.85, 0.9, 0.95]
0.9 0.3 0.3 | 0.37 (0.34-0.38) | 0.0039 | [0.05, 0.8, 0.85, 0.9, 0.95]; [0.05, 0.75, 0.85, 0.9, 0.95]; [0.05, 0.7, 0.85, 0.9, 0.95]
0.9 0.3 1e+09 | 0.97 (0.97-0.97) | 0.0000 | [0.95]; [0.95]; [0.4, 0.95]
0.9 0.5 0.03 | 0.45 (0.43-0.47) | 0.0082 | [0.05, 0.9, 0.95]; [0.05, 0.6, 0.8, 0.85, 0.9, 0.95]; [0.05, 0.5, 0.7, 0.8, 0.85, 0.9, 0.95]
0.9 0.5 0.1 | 0.45 (0.43-0.47) | 0.0082 | [0.05, 0.9, 0.95]; [0.05, 0.6, 0.8, 0.85, 0.9, 0.95]; [0.05, 0.5, 0.7, 0.8, 0.85, 0.9, 0.95]
0.9 0.5 0.3 | 0.45 (0.43-0.47) | 0.0082 | [0.05, 0.9, 0.95]; [0.05, 0.6, 0.8, 0.85, 0.9, 0.95]; [0.05, 0.5, 0.7, 0.8, 0.85, 0.9, 0.95]
0.9 0.5 1e+09 | 0.79 (0.76-0.82) | 0.0000 | [0.05, 0.1, 0.95]; [0.05, 0.1, 0.95]; [0.05, 0.1, 0.75, 0.8, 0.95]
0.9 1.0 0.03 | 0.58 (0.51-0.67) | 0.0017 | [0.05, 0.45, 0.85, 0.9, 0.95]; [0.05, 0.5, 0.7, 0.8, 0.85, 0.9, 0.95]; [0.05, 0.65, 0.75, 0.8, 0.85, 0.9, 0.95]
0.9 1.0 0.1 | 0.58 (0.51-0.67) | 0.0017 | [0.05, 0.45, 0.85, 0.9, 0.95]; [0.05, 0.5, 0.7, 0.8, 0.85, 0.9, 0.95]; [0.05, 0.65, 0.75, 0.8, 0.85, 0.9, 0.95]
0.9 1.0 0.3 | 0.58 (0.51-0.67) | 0.0017 | [0.05, 0.45, 0.85, 0.9, 0.95]; [0.05, 0.5, 0.7, 0.8, 0.85, 0.9, 0.95]; [0.05, 0.65, 0.75, 0.8, 0.85, 0.9, 0.95]
0.9 1.0 1e+09 | 0.68 (0.66-0.71) | 0.0000 | [0.05, 0.1, 0.15, 0.2, 0.25, 0.95]; [0.05, 0.1, 0.15, 0.2, 0.25, 0.95]; [0.05, 0.1, 0.15, 0.2, 0.4, 0.45, 0.5, 0.8, 0.95]
